"Perioden";"Regio's";"Totaal (km2)";"Verkeersterrein/Spoorterrein (km2)";"Verkeersterrein/Wegverkeersterrein (km2)";"Verkeersterrein/Vliegveld (km2)";"Bebouwd terrein/Woonterrein (km2)";"Bebouwd terrein/Bedrijventerreinen (km2)";"Bebouwd terrein/Sociaal-culturele voorzieningen (km2)";"Semi-bebouwd terrein/Delfstofwinplaats (km2)";"Semi-bebouwd terrein/Bouwterrein (km2)";"Semi-bebouwd terrein/Overige semi-bebouwde terreinen (km2)";"Recreatieterrein/Park en plantsoen (km2)";"Recreatieterrein/Sportterrein (km2)";"Recreatieterrein/Overige recreatieterreinen (km2)";"Agrarisch terrein/Terrein voor glastuinbouw (km2)";"Agrarisch terrein/Overig agrarisch terrein (km2)";"Bos en open natuurlijk terrein/Bos (km2)";"Bos en open natuurlijk terrein/Open natuurlijke terreinen (km2)";"Water/Binnenwater (km2)";"Water/Buitenwater (km2)"
"1955";"Groningen (PV)";"    2410";"       6";"      40";"       .";"       .";"       .";"       .";"       .";"       0";"       .";"       3";"       .";"       .";"       .";"    2059";"       7";"      78";"       .";"       ."
"1956";"Groningen (PV)";"    2410";"       6";"      43";"       .";"       .";"       .";"       .";"       .";"       1";"       .";"       3";"       .";"       .";"       .";"    2062";"       9";"      69";"       .";"       ."
"1957";"Groningen (PV)";"    2410";"       6";"      44";"       .";"       .";"       .";"       .";"       .";"       1";"       .";"       3";"       .";"       .";"       .";"    2060";"       9";"      69";"       .";"       ."
"1958";"Groningen (PV)";"    2414";"       6";"      45";"       .";"       .";"       .";"       .";"       .";"       1";"       .";"       3";"       .";"       .";"       .";"    2059";"       9";"      69";"       .";"       ."
"1959";"Groningen (PV)";"    2414";"       6";"      45";"       .";"       .";"       .";"       .";"       .";"       1";"       .";"       4";"       .";"       .";"       .";"    2056";"       9";"      69";"       .";"       ."
"1960";"Groningen (PV)";"    2414";"       7";"      46";"       .";"       .";"       .";"       .";"       .";"       2";"       .";"       4";"       .";"       .";"       .";"    2052";"       9";"      68";"       .";"       ."
"1961";"Groningen (PV)";"    2414";"       7";"      47";"       .";"       .";"       .";"       .";"       .";"       2";"       .";"       5";"       .";"       .";"       .";"    2047";"       9";"      68";"       .";"       ."
"1962";"Groningen (PV)";"    2414";"       7";"      47";"       .";"       .";"       .";"       .";"       .";"       4";"       .";"       5";"       .";"       .";"       .";"    2035";"       9";"      73";"       .";"       ."
"1963";"Groningen (PV)";"    2413";"       6";"      48";"       0";"       .";"       .";"       .";"       .";"       4";"       .";"       6";"       .";"       .";"       .";"    2033";"       9";"      73";"       .";"       ."
"1964";"Groningen (PV)";"    2413";"       6";"      49";"       0";"       .";"       .";"       .";"       .";"       6";"       .";"       6";"       .";"       .";"       .";"    2028";"       9";"      73";"       .";"       ."
"1965";"Groningen (PV)";"    2413";"       6";"      37";"       0";"       .";"       .";"       .";"       .";"       6";"       .";"       7";"       .";"       .";"       .";"    2034";"       9";"      73";"       .";"       ."
"1966";"Groningen (PV)";"    2414";"       5";"      31";"       0";"       .";"       .";"       .";"       .";"       6";"       .";"       7";"       .";"       .";"       .";"    2062";"      13";"      72";"       .";"       ."
"1967";"Groningen (PV)";"    2419";"       4";"      27";"       0";"       .";"      13";"       .";"       .";"       5";"       .";"       5";"       .";"       .";"       .";"    2085";"      14";"      41";"       .";"       ."
"1968";"Groningen (PV)";"    2419";"       4";"      27";"       0";"       .";"      13";"       .";"       .";"       5";"       .";"       5";"       .";"       .";"       .";"    2082";"      14";"      41";"       .";"       ."
"1969";"Groningen (PV)";"    2419";"       4";"      28";"       0";"       .";"      12";"       .";"       .";"       6";"       .";"       5";"       .";"       .";"       .";"    2081";"      15";"      41";"       .";"       ."
"1970";"Groningen (PV)";"    2425";"       4";"      28";"       0";"       .";"      12";"       .";"       .";"       7";"       .";"       6";"       .";"       .";"       .";"    2077";"      15";"      41";"       .";"       ."
"1971";"Groningen (PV)";"    2432";"       5";"      26";"       0";"       .";"      13";"       .";"       .";"       8";"       .";"       4";"       .";"       .";"       .";"    2063";"      17";"      26";"       .";"       ."
"1972";"Groningen (PV)";"    2432";"       4";"      26";"       0";"       .";"      13";"       .";"       .";"       9";"       .";"       4";"       2";"       .";"       .";"    2056";"      18";"      29";"       .";"       ."
"1973";"Groningen (PV)";"    2495";"       4";"      26";"       0";"       .";"      14";"       .";"       .";"      17";"       .";"       4";"       7";"       .";"       .";"    2090";"      20";"      21";"       .";"       ."
"1974";"Groningen (PV)";"    2495";"       4";"      27";"       0";"       .";"      14";"       .";"       .";"      18";"       .";"       5";"       7";"       .";"       .";"    2084";"      21";"      21";"       .";"       ."
"1975";"Groningen (PV)";"    2495";"       4";"      28";"       0";"       .";"      15";"       .";"       .";"      17";"       .";"       5";"       8";"       .";"       .";"    2078";"      23";"      21";"       .";"       ."
"1976";"Groningen (PV)";"    2499";"       4";"      28";"       0";"       .";"      16";"       .";"       .";"      17";"       .";"       6";"       8";"       .";"       .";"    2078";"      23";"      21";"       .";"       ."
"1977";"Groningen (PV)";"    2503";"       6";"      51";"       0";"     105";"      27";"       4";"       8";"      17";"       7";"       6";"      10";"      10";"       2";"    2018";"      22";"      46";"      54";"     111"
