"Perioden";"Regio's";"Totaal (km2)";"Verkeersterrein/Spoorterrein (km2)";"Verkeersterrein/Wegverkeersterrein (km2)";"Verkeersterrein/Vliegveld (km2)";"Bebouwd terrein/Woonterrein (km2)";"Bebouwd terrein/Bedrijventerreinen (km2)";"Bebouwd terrein/Sociaal-culturele voorzieningen (km2)";"Semi-bebouwd terrein/Delfstofwinplaats (km2)";"Semi-bebouwd terrein/Bouwterrein (km2)";"Semi-bebouwd terrein/Overige semi-bebouwde terreinen (km2)";"Recreatieterrein/Park en plantsoen (km2)";"Recreatieterrein/Sportterrein (km2)";"Recreatieterrein/Overige recreatieterreinen (km2)";"Agrarisch terrein/Terrein voor glastuinbouw (km2)";"Agrarisch terrein/Overig agrarisch terrein (km2)";"Bos en open natuurlijk terrein/Bos (km2)";"Bos en open natuurlijk terrein/Open natuurlijke terreinen (km2)";"Water/Binnenwater (km2)";"Water/Buitenwater (km2)"
"2010";"Zuid-Holland (PV)";"    3419";"      15";"     116";"       2";"     351";"     183";"      22";"       0";"      60";"      14";"      62";"      53";"      45";"      87";"    1585";"      80";"     132";"     427";"     186"
"2011";"Zuid-Holland (PV)";"    3419";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2012";"Zuid-Holland (PV)";"    3419";"      15";"     116";"       2";"     353";"     186";"      22";"       0";"      69";"      13";"      65";"      54";"      47";"      82";"    1563";"      80";"     145";"     430";"     175"
"2013";"Zuid-Holland (PV)";"    3418";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2014";"Zuid-Holland (PV)";"    3418";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2015";"Zuid-Holland (PV)";"    3419";"      15";"     115";"       1";"     355";"     195";"      23";"       0";"      58";"      14";"      68";"      54";"      48";"      78";"    1550";"      81";"     151";"     447";"     164"
"1950";"Zeeland (PV)";"    1827";"       8";"      42";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       1";"       .";"       .";"       .";"    1490";"      10";"     122";"       .";"       ."
"1951";"Zeeland (PV)";"    2559";"       7";"      44";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       2";"       .";"       .";"       .";"    1493";"      10";"     125";"       .";"       ."
"1952";"Zeeland (PV)";"    2630";"       7";"      45";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       2";"       .";"       .";"       .";"    1498";"      10";"     124";"       .";"       ."
"1953";"Zeeland (PV)";"    2539";"       6";"      48";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       2";"       .";"       .";"       .";"    1508";"      10";"     121";"       .";"       ."
"1954";"Zeeland (PV)";"    2539";"       6";"      48";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       1";"       .";"       .";"       .";"    1515";"      10";"     118";"       .";"       ."
"1955";"Zeeland (PV)";"    2539";"       5";"      48";"       0";"       .";"       .";"       .";"       .";"       0";"       .";"       1";"       .";"       .";"       .";"    1519";"      10";"     111";"       .";"       ."
"1956";"Zeeland (PV)";"    2539";"       5";"      48";"       0";"       .";"       .";"       .";"       .";"       0";"       .";"       1";"       .";"       .";"       .";"    1520";"      10";"     109";"       .";"       ."
"1957";"Zeeland (PV)";"    2807";"       4";"      47";"       0";"       .";"       .";"       .";"       .";"       1";"       .";"       1";"       .";"       .";"       .";"    1521";"      10";"     108";"       .";"       ."
"1958";"Zeeland (PV)";"    2807";"       4";"      48";"       0";"       .";"       .";"       .";"       .";"       1";"       .";"       1";"       .";"       .";"       .";"    1519";"      10";"     108";"       .";"       ."
"1959";"Zeeland (PV)";"    2807";"       4";"      48";"       0";"       .";"       .";"       .";"       .";"       1";"       .";"       1";"       .";"       .";"       .";"    1515";"      10";"     108";"       .";"       ."
"1960";"Zeeland (PV)";"    2807";"       4";"      50";"       0";"       .";"       .";"       .";"       .";"       1";"       .";"       2";"       .";"       .";"       .";"    1505";"      10";"     101";"       .";"       ."
"1961";"Zeeland (PV)";"    2807";"       4";"      51";"       0";"       .";"       .";"       .";"       .";"       1";"       .";"       2";"       .";"       .";"       .";"    1503";"      10";"     100";"       .";"       ."
"1962";"Zeeland (PV)";"    2807";"       4";"      52";"       0";"       .";"       .";"       .";"       .";"       2";"       .";"       2";"       .";"       .";"       .";"    1502";"      10";"      99";"       .";"       ."
"1963";"Zeeland (PV)";"    2774";"       3";"      51";"       0";"       .";"       .";"       .";"       .";"       3";"       .";"       2";"       .";"       .";"       .";"    1518";"      11";"      94";"       .";"       ."
"1964";"Zeeland (PV)";"    2700";"       2";"      40";"       0";"       .";"       .";"       .";"       .";"       4";"       .";"       2";"       .";"       .";"       .";"    1552";"      16";"      71";"       .";"       ."
"1965";"Zeeland (PV)";"    2700";"       2";"      40";"       0";"       .";"       .";"       .";"       .";"       5";"       .";"       2";"       .";"       .";"       .";"    1551";"      16";"      70";"       .";"       ."
"1966";"Zeeland (PV)";"    2700";"       2";"      41";"       0";"       .";"       .";"       .";"       .";"       5";"       .";"       2";"       .";"       .";"       .";"    1549";"      16";"      70";"       .";"       ."
"1967";"Zeeland (PV)";"    2700";"       2";"      41";"       0";"       .";"       5";"       .";"       .";"       5";"       .";"       2";"       .";"       .";"       .";"    1547";"      16";"      70";"       .";"       ."
"1968";"Zeeland (PV)";"    2701";"       2";"      41";"       0";"       .";"       7";"       .";"       .";"       6";"       .";"       2";"       .";"       .";"       .";"    1544";"      17";"      71";"       .";"       ."
"1969";"Zeeland (PV)";"    2701";"       2";"      42";"       0";"       .";"       6";"       .";"       .";"       7";"       .";"       2";"       .";"       .";"       .";"    1541";"      17";"      71";"       .";"       ."
"1970";"Zeeland (PV)";"    2701";"       2";"      42";"       0";"       .";"       7";"       .";"       .";"       8";"       .";"       2";"       .";"       .";"       .";"    1538";"      17";"      71";"       .";"       ."
"1971";"Zeeland (PV)";"    2746";"       2";"      45";"       0";"       .";"       8";"       .";"       .";"       9";"       .";"       2";"       .";"       .";"       .";"    1534";"      17";"      67";"       .";"       ."
"1972";"Zeeland (PV)";"    2744";"       2";"      45";"       0";"       .";"       9";"       .";"       .";"      11";"       .";"       2";"       1";"       .";"       .";"    1550";"      18";"      66";"       .";"       ."
"1973";"Zeeland (PV)";"    2745";"       2";"      40";"       0";"       .";"      12";"       .";"       .";"      11";"       .";"       1";"       2";"       .";"       .";"    1554";"      23";"      72";"       .";"       ."
"1974";"Zeeland (PV)";"    2745";"       2";"      42";"       0";"       .";"      13";"       .";"       .";"      10";"       .";"       1";"       3";"       .";"       .";"    1554";"      24";"      68";"       .";"       ."
"1975";"Zeeland (PV)";"    2745";"       2";"      43";"       0";"       .";"      13";"       .";"       .";"       9";"       .";"       1";"       3";"       .";"       .";"    1552";"      24";"      68";"       .";"       ."
"1976";"Zeeland (PV)";"    2744";"       2";"      43";"       0";"       .";"      13";"       .";"       .";"       8";"       .";"       1";"       3";"       .";"       .";"    1550";"      24";"      68";"       .";"       ."
"1977";"Zeeland (PV)";"    3017";"       4";"      69";"       1";"      63";"      22";"       2";"       0";"      14";"      16";"       3";"       6";"      21";"       0";"    1457";"      21";"      86";"      99";"    1132"
"1978";"Zeeland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1979";"Zeeland (PV)";"    3017";"       4";"      69";"       1";"      64";"      23";"       2";"       0";"      13";"      16";"       3";"       6";"      21";"       0";"    1454";"      22";"      87";"     100";"    1131"
"1980";"Zeeland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1981";"Zeeland (PV)";"    3017";"       4";"      69";"       1";"      66";"      24";"       2";"       0";"      13";"      16";"       4";"       7";"      22";"       1";"    1448";"      23";"      87";"     102";"    1129"
"1982";"Zeeland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1983";"Zeeland (PV)";"    3017";"       4";"      70";"       1";"      66";"      25";"       3";"       0";"      12";"      17";"       4";"       7";"      22";"       1";"    1445";"      23";"      87";"     107";"    1124"
"1984";"Zeeland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1985";"Zeeland (PV)";"    3017";"       4";"      70";"       1";"      67";"      25";"       3";"       0";"      11";"      17";"       4";"       7";"      23";"       1";"    1442";"      23";"      87";"     107";"    1124"
"1986";"Zeeland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1987";"Zeeland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1988";"Zeeland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1989";"Zeeland (PV)";"    3117";"       3";"      74";"       1";"      68";"      28";"       3";"       0";"      12";"      19";"       4";"       7";"      24";"       1";"    1437";"      25";"      87";"     141";"    1183"
"1990";"Zeeland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1991";"Zeeland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1992";"Zeeland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1993";"Zeeland (PV)";"    2932";"       3";"      70";"       0";"      66";"      25";"       3";"       0";"      15";"      17";"       4";"       8";"      20";"       1";"    1443";"      27";"      87";"     138";"    1004"
"1994";"Zeeland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1995";"Zeeland (PV)";"    2932";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1996";"Zeeland (PV)";"    2932";"       3";"      70";"       0";"      64";"      29";"       2";"       0";"      14";"      18";"       8";"      10";"      20";"       1";"    1429";"      35";"      85";"     140";"    1004"
"1997";"Zeeland (PV)";"    2932";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1998";"Zeeland (PV)";"    2932";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1999";"Zeeland (PV)";"    2932";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2000";"Zeeland (PV)";"    2934";"       3";"      70";"       0";"      66";"      31";"       2";"       0";"      21";"      18";"       8";"      10";"      22";"       1";"    1414";"      36";"      85";"     140";"    1006"
"2001";"Zeeland (PV)";"    2934";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2002";"Zeeland (PV)";"    2934";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2003";"Zeeland (PV)";"    2934";"       3";"      72";"       0";"      67";"      35";"       2";"       0";"      17";"      16";"       7";"      10";"      24";"       2";"    1401";"      37";"      93";"     142";"    1005"
"2004";"Zeeland (PV)";"    2934";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2005";"Zeeland (PV)";"    2934";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2006";"Zeeland (PV)";"    2934";"       3";"      73";"       0";"      68";"      36";"       2";"       0";"      23";"      15";"       8";"      10";"      25";"       3";"    1385";"      37";"      97";"     142";"    1005"
"2007";"Zeeland (PV)";"    2934";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2008";"Zeeland (PV)";"    2934";"       3";"      73";"       0";"      70";"      38";"       2";"       0";"      21";"      14";"       7";"      10";"      26";"       3";"    1380";"      39";"      96";"     144";"    1006"
"2009";"Zeeland (PV)";"    2934";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2010";"Zeeland (PV)";"    2934";"       3";"      70";"       0";"      70";"      40";"       3";"       0";"      21";"      14";"       7";"      11";"      26";"       4";"    1377";"      40";"      98";"     144";"    1006"
"2011";"Zeeland (PV)";"    2933";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2012";"Zeeland (PV)";"    2933";"       3";"      68";"       0";"      71";"      42";"       3";"       0";"      21";"      13";"       8";"      11";"      28";"       4";"    1369";"      40";"     100";"     145";"    1005"
"2013";"Zeeland (PV)";"    2933";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2014";"Zeeland (PV)";"    2933";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2015";"Zeeland (PV)";"    2933";"       3";"      68";"       0";"      72";"      45";"       3";"       0";"      24";"      13";"       8";"      11";"      30";"       4";"    1359";"      41";"     102";"     147";"    1005"
"1950";"Noord-Brabant (PV)";"    5045";"      12";"     190";"      16";"       .";"       .";"       .";"       .";"       .";"       .";"       3";"       .";"       .";"       .";"    3567";"     562";"     359";"       .";""
"1951";"Noord-Brabant (PV)";"    5063";"      13";"     192";"      16";"       .";"       .";"       .";"       .";"       .";"       .";"       4";"       .";"       .";"       .";"    3580";"     564";"     348";"       .";""
"1952";"Noord-Brabant (PV)";"    5076";"      13";"     186";"      20";"       .";"       .";"       .";"       .";"       .";"       .";"       5";"       .";"       .";"       .";"    3594";"     565";"     343";"       .";""
"1953";"Noord-Brabant (PV)";"    5099";"      13";"     189";"      21";"       .";"       .";"       .";"       .";"       .";"       .";"       6";"       .";"       .";"       .";"    3623";"     563";"     339";"       .";""
"1954";"Noord-Brabant (PV)";"    5099";"      13";"     188";"      21";"       .";"       .";"       .";"       .";"       .";"       .";"       7";"       .";"       .";"       .";"    3623";"     560";"     328";"       .";""
"1955";"Noord-Brabant (PV)";"    5099";"      13";"     189";"      23";"       .";"       .";"       .";"       .";"       1";"       .";"       7";"       .";"       .";"       .";"    3644";"     561";"     295";"       .";""
"1956";"Noord-Brabant (PV)";"    5098";"      13";"     185";"      23";"       .";"       .";"       .";"       .";"       4";"       .";"       5";"       .";"       .";"       .";"    3649";"     568";"     278";"       .";""
"1957";"Noord-Brabant (PV)";"    5098";"      13";"     174";"      25";"       .";"       .";"       .";"       .";"       3";"       .";"       5";"       .";"       .";"       .";"    3683";"     567";"     260";"       .";""
"1958";"Noord-Brabant (PV)";"    5099";"      12";"     171";"      24";"       .";"       .";"       .";"       .";"       5";"       .";"       5";"       .";"       .";"       .";"    3662";"     600";"     256";"       .";""
"1959";"Noord-Brabant (PV)";"    5095";"      12";"     173";"      24";"       .";"       .";"       .";"       .";"       4";"       .";"       8";"       .";"       .";"       .";"    3643";"     606";"     250";"       .";""
"1960";"Noord-Brabant (PV)";"    5096";"      11";"     129";"      23";"       .";"       .";"       .";"       .";"       6";"       .";"       9";"       .";"       .";"       .";"    3665";"     616";"     245";"       .";""
"1961";"Noord-Brabant (PV)";"    5097";"      11";"     120";"      22";"       .";"       .";"       .";"       .";"       7";"       .";"      10";"       .";"       .";"       .";"    3653";"     619";"     254";"       .";""
"1962";"Noord-Brabant (PV)";"    5097";"      10";"      89";"      21";"       .";"       .";"       .";"       .";"      13";"       .";"      11";"       .";"       .";"       .";"    3687";"     651";"     216";"       .";""
"1963";"Noord-Brabant (PV)";"    5105";"       9";"      80";"      21";"       .";"       .";"       .";"       .";"      19";"       .";"      12";"       .";"       .";"       .";"    3663";"     656";"     202";"       .";""
"1964";"Noord-Brabant (PV)";"    5105";"      10";"      69";"      21";"       .";"       .";"       .";"       .";"      25";"       .";"      13";"       .";"       .";"       .";"    3656";"     657";"     199";"       .";""
"1965";"Noord-Brabant (PV)";"    5105";"       9";"      63";"      21";"       .";"       .";"       .";"       .";"      26";"       .";"      15";"       .";"       .";"       .";"    3646";"     657";"     197";"       .";""
"1966";"Noord-Brabant (PV)";"    5105";"       9";"      63";"      21";"       .";"       .";"       .";"       .";"      28";"       .";"      17";"       .";"       .";"       .";"    3633";"     657";"     196";"       .";""
"1967";"Noord-Brabant (PV)";"    5105";"       9";"      67";"      21";"       .";"      33";"       .";"       .";"      30";"       .";"      14";"       .";"       .";"       .";"    3621";"     653";"     192";"       .";""
"1968";"Noord-Brabant (PV)";"    5105";"       9";"      68";"      20";"       .";"      35";"       .";"       .";"      30";"       .";"      14";"       .";"       .";"       .";"    3610";"     656";"     189";"       .";""
"1969";"Noord-Brabant (PV)";"    5105";"       9";"      71";"      20";"       .";"      38";"       .";"       .";"      35";"       .";"      13";"       .";"       .";"       .";"    3593";"     662";"     175";"       .";""
"1970";"Noord-Brabant (PV)";"    5105";"       9";"      73";"      20";"       .";"      39";"       .";"       .";"      43";"       .";"      13";"       .";"       .";"       .";"    3579";"     662";"     171";"       .";""
"1971";"Noord-Brabant (PV)";"    5105";"       9";"      76";"      20";"       .";"      41";"       .";"       .";"      45";"       .";"      16";"       .";"       .";"       .";"    3547";"     661";"     171";"       .";""
"1972";"Noord-Brabant (PV)";"    5096";"       9";"      77";"      20";"       .";"      45";"       .";"       .";"      54";"       .";"      18";"       9";"       .";"       .";"    3514";"     661";"     169";"       .";""
"1973";"Noord-Brabant (PV)";"    5105";"       9";"      76";"      21";"       .";"      46";"       .";"       .";"      49";"       .";"      13";"      18";"       .";"       .";"    3489";"     675";"     155";"       .";""
"1974";"Noord-Brabant (PV)";"    5102";"       8";"      77";"      21";"       .";"      47";"       .";"       .";"      46";"       .";"      14";"      19";"       .";"       .";"    3468";"     684";"     154";"       .";""
"1975";"Noord-Brabant (PV)";"    5102";"       8";"      79";"      21";"       .";"      49";"       .";"       .";"      43";"       .";"      16";"      20";"       .";"       .";"    3452";"     684";"     154";"       .";""
"1976";"Noord-Brabant (PV)";"    5102";"       9";"      79";"      21";"       .";"      50";"       .";"       .";"      41";"       .";"      17";"      20";"       .";"       .";"    3442";"     685";"     154";"       .";""
"1977";"Noord-Brabant (PV)";"    5105";"      12";"     173";"      22";"     331";"      97";"      33";"       9";"      39";"      19";"      17";"      36";"      43";"       6";"    3335";"     646";"     140";"     111";""
"1978";"Noord-Brabant (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1979";"Noord-Brabant (PV)";"    5106";"      12";"     174";"       9";"     337";"      99";"      33";"       9";"      40";"      19";"      17";"      36";"      44";"       6";"    3328";"     656";"     138";"     112";""
"1980";"Noord-Brabant (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1981";"Noord-Brabant (PV)";"    5106";"      12";"     175";"       9";"     348";"     103";"      33";"       9";"      41";"      19";"      17";"      39";"      45";"       6";"    3308";"     655";"     138";"     113";""
"1982";"Noord-Brabant (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1983";"Noord-Brabant (PV)";"    5106";"      12";"     177";"       9";"     356";"     105";"      34";"       9";"      37";"      19";"      18";"      40";"      45";"       6";"    3291";"     659";"     139";"     127";""
"1984";"Noord-Brabant (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1985";"Noord-Brabant (PV)";"    5106";"      12";"     178";"       8";"     362";"     107";"      35";"       7";"      38";"      19";"      18";"      40";"      47";"       7";"    3276";"     659";"     142";"     128";""
"1986";"Noord-Brabant (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1987";"Noord-Brabant (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1988";"Noord-Brabant (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1989";"Noord-Brabant (PV)";"    5083";"      11";"     190";"       6";"     367";"     121";"      30";"       7";"      34";"      20";"      20";"      43";"      41";"       8";"    3254";"     651";"     136";"     144";""
"1990";"Noord-Brabant (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1991";"Noord-Brabant (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1992";"Noord-Brabant (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1993";"Noord-Brabant (PV)";"    5082";"      11";"     185";"       5";"     371";"     123";"      26";"       7";"      37";"      16";"      17";"      49";"      42";"       9";"    3247";"     662";"     126";"     149";""
"1994";"Noord-Brabant (PV)";"       .";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1995";"Noord-Brabant (PV)";"    5082";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1996";"Noord-Brabant (PV)";"    5082";"      10";"     151";"       8";"     363";"     140";"      24";"       2";"      31";"      14";"      28";"      50";"      37";"       9";"    3217";"     722";"     115";"     159";""
"1997";"Noord-Brabant (PV)";"    5082";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1998";"Noord-Brabant (PV)";"    5082";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1999";"Noord-Brabant (PV)";"    5082";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2000";"Noord-Brabant (PV)";"    5082";"      10";"     153";"       8";"     377";"     153";"      24";"       3";"      46";"      12";"      32";"      51";"      38";"      11";"    3158";"     732";"     111";"     162";""
"2001";"Noord-Brabant (PV)";"    5082";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2002";"Noord-Brabant (PV)";"    5082";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2003";"Noord-Brabant (PV)";"    5082";"       9";"     155";"       5";"     378";"     165";"      26";"       3";"      47";"      13";"      37";"      53";"      40";"      14";"    3128";"     726";"     117";"     165";""
"2004";"Noord-Brabant (PV)";"    5082";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2005";"Noord-Brabant (PV)";"    5082";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2006";"Noord-Brabant (PV)";"    5082";"      10";"     159";"       6";"     383";"     170";"      26";"       2";"      53";"      13";"      38";"      55";"      40";"      16";"    3107";"     719";"     119";"     166";""
"2007";"Noord-Brabant (PV)";"    5082";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2008";"Noord-Brabant (PV)";"    5082";"      10";"     161";"       6";"     387";"     175";"      26";"       2";"      59";"      12";"      37";"      56";"      40";"      17";"    3088";"     719";"     120";"     167";""
"2009";"Noord-Brabant (PV)";"    5082";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2010";"Noord-Brabant (PV)";"    5082";"      10";"     163";"       6";"     388";"     188";"      26";"       3";"      54";"      12";"      39";"      57";"      41";"      18";"    3068";"     719";"     123";"     168";""
"2011";"Noord-Brabant (PV)";"    5082";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2012";"Noord-Brabant (PV)";"    5082";"      10";"     161";"       5";"     393";"     191";"      25";"       2";"      58";"      11";"      39";"      58";"      44";"      17";"    3047";"     713";"     133";"     174";""
"2013";"Noord-Brabant (PV)";"    5082";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2014";"Noord-Brabant (PV)";"    5082";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2015";"Noord-Brabant (PV)";"    5082";"      10";"     161";"       5";"     397";"     195";"      26";"       2";"      56";"      11";"      40";"      60";"      44";"      17";"    3028";"     708";"     145";"     177";""
"1950";"Limburg (PV)";"    2216";"      10";"      82";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       2";"       .";"       .";"       .";"    1527";"     257";"     133";"      28";""
"1951";"Limburg (PV)";"    2215";"      10";"      83";"       2";"       .";"       .";"       .";"       .";"       .";"       .";"       2";"       .";"       .";"       .";"    1528";"     258";"     129";"      30";""
"1952";"Limburg (PV)";"    2219";"      11";"      83";"       2";"       .";"       .";"       .";"       .";"       .";"       .";"       2";"       .";"       .";"       .";"    1531";"     258";"     127";"      29";""
"1953";"Limburg (PV)";"    2210";"      11";"      85";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       2";"       .";"       .";"       .";"    1541";"     258";"     112";"      30";""
"1954";"Limburg (PV)";"    2210";"      11";"      85";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       2";"       .";"       .";"       .";"    1543";"     258";"     105";"      30";""
"1955";"Limburg (PV)";"    2251";"      11";"      87";"       6";"       .";"       .";"       .";"       .";"       0";"       .";"       3";"       .";"       .";"       .";"    1571";"     265";"      99";"      31";""
